"player_id","player_name","nickname","team_id","team_abbreviation","age","gp","w","l","w_pct","min","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","tov","stl","blk","blka","pf","pfd","pts","plus_minus","nba_fantasy_pts","dd2","td3","wnba_fantasy_pts","gp_rank","w_rank","l_rank","w_pct_rank","min_rank","fgm_rank","fga_rank","fg_pct_rank","fg3m_rank","fg3a_rank","fg3_pct_rank","ftm_rank","fta_rank","ft_pct_rank","oreb_rank","dreb_rank","reb_rank","ast_rank","tov_rank","stl_rank","blk_rank","blka_rank","pf_rank","pfd_rank","pts_rank","plus_minus_rank","nba_fantasy_pts_rank","dd2_rank","td3_rank","wnba_fantasy_pts_rank","team_count"
NA,NA,NA,NA,NA,NA,1,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,0,0,0,0,97,84,29,84,26,114,115,114,85,104,85,84,96,84,96,108,110,99,106,84,61,73,106,102,114,108,115,7,1,115,1
27900,"AK Okereke","AK",1610612747,"LAL",23,3,2,1,0.667,16.9,1.7,4,0.417,0.7,1.3,0.5,1.3,1.3,1,0.7,2.3,3,0.3,0.7,0.3,0.7,0.3,2.7,1.7,6.7,-5.3,13.1,0,0,12.7,1,3,29,35,77,75,82,62,51,83,15,27,47,1,59,56,60,94,87,70,26,55,23,54,62,89,77,7,1,77,1
1643058,"Aaron Scott","Aaron",1610612751,"BKN",22,2,2,0,1,21.9,2,4.5,0.444,1,2.5,0.4,1,1.5,0.667,3,2.5,5.5,0.5,0,0.5,0,0,0.5,2.5,7,10.5,15.9,0,0,15,41,3,83,1,41,62,74,52,32,55,34,32,35,49,4,50,21,88,106,58,61,73,102,30,56,12,63,7,1,61,1
1643244,"Aaron Williams","Aaron",1610612749,"MIL",34,1,0,1,0,6.5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,97,84,29,84,111,114,105,114,85,62,85,84,96,84,96,108,110,99,106,84,61,73,106,102,114,75,115,7,1,115,1
1641745,"Adam Flagler","Adam",1610612758,"SAC",26,2,2,0,1,20.6,2,8.5,0.235,0.5,4,0.125,1.5,2,0.75,0.5,2,2.5,3,1,1.5,0,0.5,2,4.5,7.5,11.5,18.5,0,0,16.5,41,3,83,1,53,62,32,101,64,25,82,22,24,40,68,62,69,17,56,17,61,37,34,7,54,10,50,7,1,55,1
1642876,"Adou Thiero","Adou",1610612747,"LAL",22,2,1,1,0.5,25.7,3,9.5,0.316,0,1.5,0,3,6,0.5,0.5,3,3.5,2,1.5,2.5,0,2.5,2.5,6.5,11,-13,24.2,0,0,21.5,41,40,29,50,18,46,21,91,85,77,85,4,1,59,68,36,51,34,44,3,61,2,27,4,33,115,28,7,1,34,1
1643158,"Andersson Garcia","Andersson",1810612744,"GWB",25,3,0,3,0,15.2,1.3,3,0.444,0.3,1,0.333,1.3,1.7,0.8,2.3,3.3,5.7,1.3,1.7,0.7,0,0.3,2.7,2.3,5.3,-9,14.5,0,0,14,1,84,1,84,84,87,95,52,82,84,43,27,33,37,9,32,19,62,36,51,61,55,23,38,72,100,70,7,1,69,1
27901,"Anthony Dell'Orso","Anthony",1610612758,"SAC",22,2,2,0,1,16.8,1,3,0.333,0.5,1.5,0.333,0,0,0,1.5,1.5,3,1,1,0.5,0,0,1,0.5,2.5,8.5,8.1,0,0,8,41,3,83,1,78,91,95,83,64,77,43,84,96,84,20,77,60,65,56,58,61,73,84,94,99,18,95,7,1,94,1
1641817,"Anton Watson","Anton",1610612747,"LAL",25,2,1,1,0.5,24.9,3,7.5,0.4,0.5,3,0.167,2.5,2.5,1,2,4.5,6.5,0.5,0.5,1,0.5,1,3,3,10.5,-9.5,23.1,1,0,21,41,40,29,50,24,46,46,67,64,41,77,11,19,1,12,16,9,88,96,30,35,14,16,22,39,104,34,1,1,36,1
1643728,"Arnas Sakenis","Arnas",1610612748,"MIA",21,3,2,1,0.667,9.5,1,1.7,0.6,0,0.3,0,0,0,0,0.7,1,1.7,0,0.3,0.3,1,0.3,0.7,0.7,2,-0.3,7.7,0,0,6.3,1,3,29,35,105,91,109,18,85,101,85,84,96,84,59,85,91,99,100,70,14,55,101,91,104,60,98,7,1,102,1
